game_id,plate_appearance_id,pitch_number,game_date,season,game_type,pitching_team,batting_team,pitcher_id,pitcher_hand,pitcher_pitch_count_before,pitcher_days_rest,pitcher_times_through_order,pitcher_season_whiff_rate_before,pitcher_rolling_whiff_rate_before,pitcher_pitch_type_use_before,pitcher_batter_pa_before,batter_id,batter_side,batter_pa_before,batter_season_woba_before,batter_rolling_woba_before,batter_pitch_type_whiff_rate_before,batter_zone_swing_rate_before,batter_chase_rate_before,batter_contact_rate_before,expected_release_speed,expected_break_x,expected_break_z,expected_spin_rate,expected_extension,intended_plate_x,intended_plate_z,previous_pitch_1,previous_pitch_2,previous_pitch_3,previous_result_1,previous_speed_1,speed_change_from_previous,break_x_change_from_previous,break_z_change_from_previous,location_x_change_from_previous,location_z_change_from_previous,balls,strikes,outs,inning,inning_half,score_difference,runner_on_first,runner_on_second,runner_on_third,leverage_index_before,ballpark_id,park_run_factor_before,park_home_run_factor_before,park_altitude_feet,roof_state,temperature_f,wind_speed_mph,wind_direction,catcher_id,catcher_framing_rate_before,defense_alignment,defense_quality_before,pitch_name,description,release_speed,break_x,break_z,spin_rate,plate_x,plate_z,exit_velocity,plate_appearance_result,game_result
G2023-0000,PA000004,2,2023-04-01,2023,regular season,CHC,MIL,P100,right,29,4,1,0.22,0.2188,0.22,15,B104,left,168,0.29,0.3165,0.272,0.6335,0.31,0.778,85,6,1.5,2450,6.1,0.591,1.8082,changeup,,,called strike,82.845,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,curveball,ball,79.8449,7.5637,-5.4004,2732,0.5779,2.687,,field out,win
G2023-0000,PA000004,3,2023-04-01,2023,regular season,CHC,MIL,P100,right,29,4,1,0.22,0.2188,0.22,15,B104,left,168,0.29,0.3165,0.272,0.6335,0.31,0.778,85,6,1.5,2450,6.1,0.591,1.8082,curveball,changeup,,ball,79.8449,-5.1551,-0.5637,6.9004,0.0131,-0.8788,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,hit into play,84.6338,5.8977,2.3613,2437,0.3654,2.4848,79,field out,win
G2023-0000,PA000005,1,2023-04-01,2023,regular season,CHC,STL,P100,right,36,4,1,0.22,0.2192,0.22,17,B105,left,185,0.298,0.3077,0.2,0.615,0.25,0.762,85,6,1.5,2450,6.1,0.5999,2.1743,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,83.6696,10.4389,5.916,1794,-0.1532,2.3151,,field out,win
G2023-0000,PA000005,2,2023-04-01,2023,regular season,CHC,STL,P100,right,36,4,1,0.22,0.2192,0.22,17,B105,left,185,0.298,0.3077,0.2,0.615,0.25,0.762,85,6,1.5,2450,6.1,0.5999,2.1743,changeup,,,called strike,83.6696,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,four-seam fastball,ball,95.8875,-3.6639,15.9147,2308,0.8429,2.989,,field out,win
G2023-0000,PA000005,3,2023-04-01,2023,regular season,CHC,STL,P100,right,36,4,1,0.22,0.2192,0.22,17,B105,left,185,0.298,0.3077,0.2,0.615,0.25,0.762,85,6,1.5,2450,6.1,0.5999,2.1743,four-seam fastball,changeup,,ball,95.8875,10.8875,10.6639,-14.4147,-0.243,-0.8147,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,foul,86.0438,6.0076,1.2594,2472,0.8685,2.4764,,field out,win
G2023-0000,PA000006,1,2023-04-01,2023,regular season,CHC,MIL,P100,right,36,4,1,0.22,0.2314,0.22,0,B106,left,202,0.306,0.3223,0.212,0.6128,0.265,0.746,85,6,1.5,2450,6.1,0.5015,2.3317,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,83.7378,10.466,5.9385,1809,-0.0201,2.1768,,field out,win
G2023-0000,PA000006,2,2023-04-01,2023,regular season,CHC,MIL,P100,right,36,4,1,0.22,0.2314,0.22,0,B106,left,202,0.306,0.3223,0.212,0.6128,0.265,0.746,85,6,1.5,2450,6.1,0.5015,2.3317,changeup,,,called strike,83.7378,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,curveball,ball,79.8518,8.8625,-5.6345,2585,-0.7712,3.202,,field out,win
G2023-0000,PA000006,3,2023-04-01,2023,regular season,CHC,MIL,P100,right,36,4,1,0.22,0.2314,0.22,0,B106,left,202,0.306,0.3223,0.212,0.6128,0.265,0.746,85,6,1.5,2450,6.1,0.5015,2.3317,curveball,changeup,,ball,79.8518,-5.1482,-1.8625,7.1345,1.2727,-0.8703,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,swinging strike,84.6832,7.5149,1.5956,2391,0.0351,2.1045,,field out,win
G2023-0000,PA000007,1,2023-04-01,2023,regular season,CHC,STL,P100,right,43,4,1,0.22,0.2116,0.22,2,B107,left,219,0.314,0.2752,0.224,0.6259,0.28,0.73,85,6,1.5,2450,6.1,0.4922,2.0004,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,83.8912,10.5747,5.2038,1791,-0.2291,3.1622,,field out,win
G2023-0000,PA000007,2,2023-04-01,2023,regular season,CHC,STL,P100,right,43,4,1,0.22,0.2116,0.22,2,B107,left,219,0.314,0.2752,0.224,0.6259,0.28,0.73,85,6,1.5,2450,6.1,0.4922,2.0004,changeup,,,called strike,83.8912,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,four-seam fastball,ball,94.8977,-3.7693,15.4336,2400,-0.8107,2.7954,,field out,win
G2023-0000,PA000007,3,2023-04-01,2023,regular season,CHC,STL,P100,right,43,4,1,0.22,0.2116,0.22,2,B107,left,219,0.314,0.2752,0.224,0.6259,0.28,0.73,85,6,1.5,2450,6.1,0.4922,2.0004,four-seam fastball,changeup,,ball,94.8977,9.8977,10.7693,-13.9336,1.3029,-0.795,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,foul,85.4078,6.0633,2.1209,2448,-0.0609,2.3298,,field out,win
G2023-0000,PA000008,1,2023-04-01,2023,regular season,CHC,MIL,P100,right,43,4,1,0.22,0.2143,0.22,3,B108,left,236,0.322,0.3057,0.236,0.6419,0.295,0.81,85,6,1.5,2450,6.1,0.3945,1.9109,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,82.1505,9.7648,5.4548,1777,-0.7424,2.9719,,field out,win
G2023-0000,PA000008,2,2023-04-01,2023,regular season,CHC,MIL,P100,right,43,4,1,0.22,0.2143,0.22,3,B108,left,236,0.322,0.3057,0.236,0.6419,0.295,0.81,85,6,1.5,2450,6.1,0.3945,1.9109,changeup,,,called strike,82.1505,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,curveball,ball,79.1504,7.2745,-5.4811,2575,-0.4277,3.2385,,field out,win
G2023-0000,PA000008,3,2023-04-01,2023,regular season,CHC,MIL,P100,right,43,4,1,0.22,0.2143,0.22,3,B108,left,236,0.322,0.3057,0.236,0.6419,0.295,0.81,85,6,1.5,2450,6.1,0.3945,1.9109,curveball,changeup,,ball,79.1504,-5.8496,-0.2745,6.9811,0.8222,-1.3276,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,hit into play,84.159,7.7413,1.3835,2410,0.3895,2.1501,98.7,field out,win
G2023-0000,PA000009,1,2023-04-01,2023,regular season,CHC,STL,P100,right,50,4,1,0.22,0.2169,0.22,5,B109,left,253,0.33,0.3163,0.248,0.624,0.31,0.794,85,6,1.5,2450,6.1,0.3873,1.8649,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,83.4169,9.4029,5.0862,1844,-0.3327,2.1914,,field out,win
G2023-0000,PA000009,2,2023-04-01,2023,regular season,CHC,STL,P100,right,50,4,1,0.22,0.2169,0.22,5,B109,left,253,0.33,0.3163,0.248,0.624,0.31,0.794,85,6,1.5,2450,6.1,0.3873,1.8649,changeup,,,called strike,83.4169,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,four-seam fastball,ball,94.6049,-3.3099,15.3778,2345,0.7014,2.0657,,field out,win
G2023-0000,PA000009,3,2023-04-01,2023,regular season,CHC,STL,P100,right,50,4,1,0.22,0.2169,0.22,5,B109,left,253,0.33,0.3163,0.248,0.624,0.31,0.794,85,6,1.5,2450,6.1,0.3873,1.8649,four-seam fastball,changeup,,ball,94.6049,9.6049,10.3099,-13.8778,-0.3141,-0.2008,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,foul,84.4279,6.1402,0.9695,2398,0.4963,1.7779,,field out,win
G2023-0000,PA000010,1,2023-04-01,2023,regular season,CHC,MIL,P100,right,50,4,1,0.22,0.2109,0.22,6,B110,left,270,0.338,0.3203,0.26,0.6096,0.25,0.778,85,6,1.5,2450,6.1,0.3063,2.1984,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,83.9791,9.0584,4.711,1776,0.116,3.0291,,field out,win
G2023-0000,PA000010,2,2023-04-01,2023,regular season,CHC,MIL,P100,right,50,4,1,0.22,0.2109,0.22,6,B110,left,270,0.338,0.3203,0.26,0.6096,0.25,0.778,85,6,1.5,2450,6.1,0.3063,2.1984,changeup,,,called strike,83.9791,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,curveball,ball,79.5283,7.3567,-6.6706,2586,-0.6469,2.545,,field out,win
G2023-0000,PA000010,3,2023-04-01,2023,regular season,CHC,MIL,P100,right,50,4,1,0.22,0.2109,0.22,6,B110,left,270,0.338,0.3203,0.26,0.6096,0.25,0.778,85,6,1.5,2450,6.1,0.3063,2.1984,curveball,changeup,,ball,79.5283,-5.4717,-0.3567,8.1706,0.9532,-0.3466,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,hit into play,85.7104,6.3395,1.5498,2553,0.3036,1.7042,83.8,field out,win
G2023-0000,PA000011,1,2023-04-01,2023,regular season,CHC,STL,P100,right,22,4,1,0.22,0.2199,0.22,3,B111,left,287,0.346,0.3094,0.272,0.6353,0.265,0.762,85,6,1.5,2450,6.1,0.4796,2.339,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,82.3822,10.969,5.8075,1825,0.4008,2.2266,,field out,win
G2023-0000,PA000011,2,2023-04-01,2023,regular season,CHC,STL,P100,right,22,4,1,0.22,0.2199,0.22,3,B111,left,287,0.346,0.3094,0.272,0.6353,0.265,0.762,85,6,1.5,2450,6.1,0.4796,2.339,changeup,,,called strike,82.3822,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,four-seam fastball,ball,94.8433,-4.7694,15.249,2358,-0.3676,1.9888,,field out,win
G2023-0000,PA000011,3,2023-04-01,2023,regular season,CHC,STL,P100,right,22,4,1,0.22,0.2199,0.22,3,B111,left,287,0.346,0.3094,0.272,0.6353,0.265,0.762,85,6,1.5,2450,6.1,0.4796,2.339,four-seam fastball,changeup,,ball,94.8433,9.8433,11.7694,-13.749,0.8472,0.3502,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,hit into play,85.1149,6.5985,1.2876,2581,0.5294,1.7986,90.2,field out,win
G2023-0000,PA000012,1,2023-04-01,2023,regular season,CHC,MIL,P100,right,22,4,1,0.22,0.2187,0.22,4,B112,left,304,0.29,0.2847,0.2,0.6059,0.28,0.746,85,6,1.5,2450,6.1,0.2435,1.9317,,,,,,0,0,0,0,0,0,0,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,changeup,called strike,83.4525,9.8699,4.7322,1879,0.5268,2.0436,,field out,win
G2023-0000,PA000012,2,2023-04-01,2023,regular season,CHC,MIL,P100,right,22,4,1,0.22,0.2187,0.22,4,B112,left,304,0.29,0.2847,0.2,0.6059,0.28,0.746,85,6,1.5,2450,6.1,0.2435,1.9317,changeup,,,called strike,83.4525,0,0,0,0,0,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,curveball,ball,79.9679,8.5043,-6.2443,2714,-0.1196,3.2802,,field out,win
G2023-0000,PA000012,3,2023-04-01,2023,regular season,CHC,MIL,P100,right,22,4,1,0.22,0.2187,0.22,4,B112,left,304,0.29,0.2847,0.2,0.6059,0.28,0.746,85,6,1.5,2450,6.1,0.2435,1.9317,curveball,changeup,,ball,79.9679,-5.0321,-1.5043,7.7443,0.3631,-1.3485,0,1,0,1,top,-3,true,true,true,0.7,Wrigley Field,0.96,0.94,600,open,58,3,out,C1,-0.02,left shade,-0.05,slider,swinging strike,84.9379,8.0026,0.6578,2444,0.0415,1.7815,,field out,win
G2023-0001,PA000013,1,2023-05-02,2023,regular season,CHC,STL,P100,right,30,5,2,0.22,0.2224,0.22,6,B113,left,322,0.298,0.3189,0.212,0.6059,0.295,0.73,85,6,1.5,2450,6.1,0.2467,2.0737,,,,,,0,0,0,0,0,0,0,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,changeup,called strike,82.1458,9.7358,4.0882,1763,0.646,2.4525,,field out,loss
G2023-0001,PA000013,2,2023-05-02,2023,regular season,CHC,STL,P100,right,30,5,2,0.22,0.2224,0.22,6,B113,left,322,0.298,0.3189,0.212,0.6059,0.295,0.73,85,6,1.5,2450,6.1,0.2467,2.0737,changeup,,,called strike,82.1458,0,0,0,0,0,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,four-seam fastball,ball,95.7928,-4.6766,15.3066,2406,-0.8643,2.2799,,field out,loss
G2023-0001,PA000013,3,2023-05-02,2023,regular season,CHC,STL,P100,right,30,5,2,0.22,0.2224,0.22,6,B113,left,322,0.298,0.3189,0.212,0.6059,0.295,0.73,85,6,1.5,2450,6.1,0.2467,2.0737,four-seam fastball,changeup,,ball,95.7928,10.7928,11.6766,-13.8066,1.111,-0.2062,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,slider,hit into play,84.1456,6.0809,2.4536,2381,0.5084,2.2987,96.5,field out,loss
G2023-0001,PA000014,1,2023-05-02,2023,regular season,CHC,MIL,P100,right,30,5,2,0.22,0.2298,0.22,7,B114,left,339,0.306,0.3064,0.224,0.6536,0.31,0.81,85,6,1.5,2450,6.1,0.3185,2.4547,,,,,,0,0,0,0,0,0,0,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,changeup,called strike,83.9143,9.1086,5.012,1782,-0.0031,1.8315,,field out,loss
G2023-0001,PA000014,2,2023-05-02,2023,regular season,CHC,MIL,P100,right,30,5,2,0.22,0.2298,0.22,7,B114,left,339,0.306,0.3064,0.224,0.6536,0.31,0.81,85,6,1.5,2450,6.1,0.3185,2.4547,changeup,,,called strike,83.9143,0,0,0,0,0,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,curveball,ball,78.304,8.4059,-6.1706,2674,-0.0826,2.1957,,field out,loss
G2023-0001,PA000014,3,2023-05-02,2023,regular season,CHC,MIL,P100,right,30,5,2,0.22,0.2298,0.22,7,B114,left,339,0.306,0.3064,0.224,0.6536,0.31,0.81,85,6,1.5,2450,6.1,0.3185,2.4547,curveball,changeup,,ball,78.304,-6.696,-1.4059,7.6706,0.4011,0.259,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,slider,hit into play,84.7096,6.052,1.1144,2377,0.1263,2.09,86.4,field out,loss
G2023-0001,PA000015,1,2023-05-02,2023,regular season,CHC,STL,P100,right,37,5,2,0.22,0.219,0.22,9,B115,left,356,0.314,0.3147,0.236,0.6431,0.25,0.794,85,6,1.5,2450,6.1,0.7633,2.1794,,,,,,0,0,0,0,0,0,0,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,changeup,called strike,82.2039,10.3488,5.732,1717,0.2372,1.8893,,field out,loss
G2023-0001,PA000015,2,2023-05-02,2023,regular season,CHC,STL,P100,right,37,5,2,0.22,0.219,0.22,9,B115,left,356,0.314,0.3147,0.236,0.6431,0.25,0.794,85,6,1.5,2450,6.1,0.7633,2.1794,changeup,,,called strike,82.2039,0,0,0,0,0,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,four-seam fastball,ball,94.5788,-4.9946,14.4846,2302,-0.2311,2.9891,,field out,loss
G2023-0001,PA000015,3,2023-05-02,2023,regular season,CHC,STL,P100,right,37,5,2,0.22,0.219,0.22,9,B115,left,356,0.314,0.3147,0.236,0.6431,0.25,0.794,85,6,1.5,2450,6.1,0.7633,2.1794,four-seam fastball,changeup,,ball,94.5788,9.5788,11.9946,-12.9846,0.9944,-0.8097,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,slider,swinging strike,84.0833,6.8014,0.9429,2429,0.0928,2.3374,,field out,loss
G2023-0001,PA000016,1,2023-05-02,2023,regular season,CHC,MIL,P100,right,37,5,2,0.22,0.2319,0.22,10,B116,left,373,0.322,0.2703,0.248,0.6381,0.265,0.778,85,6,1.5,2450,6.1,0.7092,2.4721,,,,,,0,0,0,0,0,0,0,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,changeup,called strike,82.0909,10.7846,5.6282,1838,-0.6724,2.689,,field out,loss
G2023-0001,PA000016,2,2023-05-02,2023,regular season,CHC,MIL,P100,right,37,5,2,0.22,0.2319,0.22,10,B116,left,373,0.322,0.2703,0.248,0.6381,0.265,0.778,85,6,1.5,2450,6.1,0.7092,2.4721,changeup,,,called strike,82.0909,0,0,0,0,0,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,curveball,ball,79.4565,7.9679,-5.3352,2675,0.0123,2.9331,,field out,loss
G2023-0001,PA000016,3,2023-05-02,2023,regular season,CHC,MIL,P100,right,37,5,2,0.22,0.2319,0.22,10,B116,left,373,0.322,0.2703,0.248,0.6381,0.265,0.778,85,6,1.5,2450,6.1,0.7092,2.4721,curveball,changeup,,ball,79.4565,-5.5435,-0.9679,6.8352,0.6969,-0.461,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,slider,hit into play,85.1823,7.4327,1.9426,2505,0.0314,1.7126,82.9,field out,loss
G2023-0001,PA000017,1,2023-05-02,2023,regular season,CHC,STL,P100,right,44,5,2,0.22,0.2266,0.22,12,B117,left,390,0.33,0.2839,0.26,0.6418,0.28,0.762,85,6,1.5,2450,6.1,0.3807,2.2959,,,,,,0,0,0,0,0,0,0,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,changeup,called strike,83.9988,10.4291,4.9265,1779,-0.2932,2.1462,,field out,loss
G2023-0001,PA000017,2,2023-05-02,2023,regular season,CHC,STL,P100,right,44,5,2,0.22,0.2266,0.22,12,B117,left,390,0.33,0.2839,0.26,0.6418,0.28,0.762,85,6,1.5,2450,6.1,0.3807,2.2959,changeup,,,called strike,83.9988,0,0,0,0,0,0,1,1,2,bottom,-2,false,false,false,0.82,American Family Field,1,0.99,593,open,59,4,in,C2,-0.01,left shade,-0.035,four-seam fastball,ball,94.4575,-4.0517,14.9126,2350,0.1787,3.1038,,field out,loss
